Time,Time Code,Country Name,Country Code,"Charges for the use of intellectual property, payments (BoP, current US$)",Human capital index (HCI) (scale 0-1),"School enrollment, secondary (gross), gender parity index (GPI)","Literacy rate, youth (ages 15-24), gender parity index (GPI)",Claims on other sectors of the domestic economy (% of GDP)
2020,YR2020,Afghanistan,AFG,6111813.81573379,0.400284141302109,..,..,..
2020,YR2020,Albania,ALB,38609323.6413546,0.634250938892365,1.02103996276855,..,39.8460574807341
2020,YR2020,Algeria,DZA,..,0.534556448459625,..,..,..
2020,YR2020,American Samoa,ASM,..,..,..,..,..
2020,YR2020,Andorra,AND,..,..,..,..,..
2020,YR2020,Angola,AGO,129608227.29,0.362405389547348,..,..,12.4496140940666
2020,YR2020,Antigua and Barbuda,ATG,..,0.595703899860382,..,..,..
2020,YR2020,Argentina,ARG,1259953853.37823,0.602144718170166,..,..,..
2020,YR2020,Armenia,ARM,0,0.578998804092407,1.04445004463196,1.00045001506805,72.8610075927188
2020,YR2020,Aruba,ABW,10190427.2474828,..,..,..,..
2020,YR2020,Australia,AUS,3422638070.19607,0.770239531993866,..,..,..
2020,YR2020,Austria,AUT,1562361796.38387,0.746739745140076,..,..,..
2020,YR2020,Azerbaijan,AZE,0,0.577767550945282,0.980109989643097,..,27.4382109878369
2020,YR2020,"Bahamas, The",BHS,6360000,..,..,..,..
2020,YR2020,Bahrain,BHR,..,0.652472019195557,..,..,..
2020,YR2020,Bangladesh,BGD,67223010.7635837,0.46403643488884,1.20636999607086,1.02811002731323,..
2020,YR2020,Barbados,BRB,..,..,1.03185999393463,..,..
2020,YR2020,Belarus,BLR,200900000,0.700078189373016,..,..,53.8027741051386
2020,YR2020,Belgium,BEL,3451348528.90211,0.76041966676712,..,..,..
2020,YR2020,Belize,BLZ,5598606.07956927,..,1.03791999816895,..,..
2020,YR2020,Benin,BEN,..,0.400290727615356,0.809300005435944,..,..
2020,YR2020,Bermuda,BMU,..,..,..,..,..
2020,YR2020,Bhutan,BTN,102284.292322318,0.475297033786774,..,..,..
2020,YR2020,Bolivia,BOL,43683515.866,..,..,..,..
2020,YR2020,Bosnia and Herzegovina,BIH,13746877.3510513,0.57968407869339,..,..,62.5557109085365
2020,YR2020,Botswana,BWA,..,0.414028495550156,..,..,..
2020,YR2020,Brazil,BRA,4029140414.63,0.551497936248779,..,..,..
2020,YR2020,British Virgin Islands,VGB,..,..,0.98827999830246,..,..
2020,YR2020,Brunei Darussalam,BRN,..,0.626391351222992,1.03349995613098,..,42.1357049484202
2020,YR2020,Bulgaria,BGR,254080000,0.613898158073425,..,..,..
2020,YR2020,Burkina Faso,BFA,..,0.383691936731339,1.06068003177643,..,..
2020,YR2020,Burundi,BDI,..,0.386170625686646,..,..,..
2020,YR2020,Cabo Verde,CPV,3695371.61613549,..,..,..,..
2020,YR2020,Cambodia,KHM,20900816.2805052,0.491589874029159,1.08493995666504,..,..
2020,YR2020,Cameroon,CMR,..,0.397401511669159,..,..,..
2020,YR2020,Canada,CAN,12704911611.5077,0.797520101070404,..,..,..
2020,YR2020,Cayman Islands,CYM,..,..,1.0338100194931,..,..
2020,YR2020,Central African Republic,CAF,..,0.291631907224655,..,..,..
2020,YR2020,Chad,TCD,..,0.299782782793045,..,..,..
2020,YR2020,Channel Islands,CHI,..,..,..,..,..
2020,YR2020,Chile,CHL,1492195473.25472,0.651604175567627,..,..,125.629175238478
2020,YR2020,China,CHN,37781733949.96,0.65310263633728,..,..,..
2020,YR2020,Colombia,COL,1096625703.125,0.60433030128479,..,1.00569999217987,..
2020,YR2020,Comoros,COM,..,0.40468829870224,..,..,..
2020,YR2020,"Congo, Dem. Rep.",COD,0,0.366369277238846,..,..,..
2020,YR2020,"Congo, Rep.",COG,..,0.41926571726799,..,..,..
2020,YR2020,Costa Rica,CRI,..,0.628635048866272,1.08633995056152,..,63.3962006472312
2020,YR2020,Cote d'Ivoire,CIV,..,0.379889339208603,0.826449990272522,..,..
2020,YR2020,Croatia,HRV,313412312.891493,0.709693968296051,..,..,..
2020,YR2020,Cuba,CUB,..,..,1.00659000873566,..,..
2020,YR2020,Curacao,CUW,..,..,1.2174299955368,..,..
2020,YR2020,Cyprus,CYP,188726147.804797,0.755520224571228,..,..,..
2020,YR2020,Czech Republic,CZE,1390318822.91046,0.752257406711578,..,..,..
2020,YR2020,Denmark,DNK,1529841633.0103,0.755094826221466,..,..,..
2020,YR2020,Djibouti,DJI,..,..,1.03258001804352,..,..
2020,YR2020,Dominica,DMA,..,0.544749319553375,1.02531003952026,..,..
2020,YR2020,Dominican Republic,DOM,49700000,0.502766907215118,1.0854400396347,..,30.9861625380158
2020,YR2020,Ecuador,ECU,132205569,0.594254851341248,1.02479004859924,1.00600004196167,47.5988728113338
2020,YR2020,"Egypt, Arab Rep.",EGY,297000000,0.494374662637711,..,..,..
2020,YR2020,El Salvador,SLV,97726353.84,0.546176612377167,..,..,63.6010022519433
2020,YR2020,Equatorial Guinea,GNQ,..,..,..,..,..
2020,YR2020,Eritrea,ERI,..,..,..,..,..
2020,YR2020,Estonia,EST,53075649.828684,0.77720320224762,..,..,..
2020,YR2020,Eswatini,SWZ,32785514.01312,0.37250080704689,..,..,..
2020,YR2020,Ethiopia,ETH,..,0.382784843444824,..,..,..
2020,YR2020,Faroe Islands,FRO,..,..,..,..,..
2020,YR2020,Fiji,FJI,5982151.55601213,0.508573293685913,..,..,130.086889580815
2020,YR2020,Finland,FIN,..,0.796001017093658,..,..,..
2020,YR2020,France,FRA,12423182137.7566,0.762737214565277,..,..,..
2020,YR2020,French Polynesia,PYF,..,..,..,..,..
2020,YR2020,Gabon,GAB,..,0.457612454891205,..,..,..
2020,YR2020,"Gambia, The",GMB,..,0.421570628881455,..,..,..
2020,YR2020,Georgia,GEO,54890643.85,0.568925797939301,1.00990998744965,..,..
2020,YR2020,Germany,DEU,16026253187.939,0.751162469387054,..,..,..
2020,YR2020,Ghana,GHA,..,0.450056403875351,1.00419998168945,..,..
2020,YR2020,Gibraltar,GIB,..,..,0.976369976997375,..,..
2020,YR2020,Greece,GRC,320133707.815082,0.690006494522095,..,..,..
2020,YR2020,Greenland,GRL,..,..,..,..,..
2020,YR2020,Grenada,GRD,..,0.565070509910584,..,..,..
2020,YR2020,Guam,GUM,..,..,..,..,..
2020,YR2020,Guatemala,GTM,259562200,0.461270093917847,0.979820013046265,..,35.9598406725122
2020,YR2020,Guinea,GIN,..,0.37094247341156,..,..,..
2020,YR2020,Guinea-Bissau,GNB,..,..,..,..,..
2020,YR2020,Guyana,GUY,..,0.495226472616196,..,..,40.0949435432612
2020,YR2020,Haiti,HTI,..,0.446564912796021,..,..,..
2020,YR2020,Honduras,HND,..,0.481023132801056,1.15030002593994,..,73.2296415117402
2020,YR2020,"Hong Kong SAR, China",HKG,..,0.812756538391113,0.986289978027344,..,..
2020,YR2020,Hungary,HUN,1268741602.00149,0.683087289333344,..,..,..
2020,YR2020,Iceland,ISL,77623496.3143868,0.745281875133514,..,..,..
2020,YR2020,India,IND,7241107556.78618,0.493510901927948,0.995000004768372,..,..
2020,YR2020,Indonesia,IDN,1640504467.1216,0.540038466453552,..,1.00004005432129,41.7135459697041
2020,YR2020,"Iran, Islamic Rep.",IRN,..,0.593404471874237,..,..,..
2020,YR2020,Iraq,IRQ,4900000,0.407643288373947,..,..,..
2020,YR2020,Ireland,IRL,..,0.792599022388458,..,..,..
2020,YR2020,Isle of Man,IMN,..,..,..,..,..
2020,YR2020,Israel,ISR,1669800000,0.733995318412781,..,..,..
2020,YR2020,Italy,ITA,4096757343.0992,0.727819681167603,..,..,..
2020,YR2020,Jamaica,JAM,..,0.534977912902832,1.00885999202728,..,..
2020,YR2020,Japan,JPN,28218283570.1924,0.804714262485504,..,..,238.902165679026
2020,YR2020,Jordan,JOR,..,0.553174376487732,1.03022003173828,..,..
2020,YR2020,Kazakhstan,KAZ,146183995,0.628506422042847,1.00129997730255,..,30.0151950010838
2020,YR2020,Kenya,KEN,..,0.546752512454987,..,..,..
2020,YR2020,Kiribati,KIR,..,0.492592930793762,..,..,..
2020,YR2020,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..
2020,YR2020,"Korea, Rep.",KOR,9889600000,0.798776268959045,..,..,..
2020,YR2020,Kosovo,XKX,6203745.77029743,0.567331731319427,..,..,..
2020,YR2020,Kuwait,KWT,..,0.562588036060333,..,1.0047299861908,..
2020,YR2020,Kyrgyz Republic,KGZ,..,0.596617102622986,0.999859988689423,..,..
2020,YR2020,Lao PDR,LAO,..,0.456665337085724,0.945089995861053,..,..
2020,YR2020,Latvia,LVA,30999228.7243167,0.70658141374588,..,..,..
2020,YR2020,Lebanon,LBN,..,0.515125513076782,..,..,..
2020,YR2020,Lesotho,LSO,2615520.58193664,0.400392591953278,..,..,..
2020,YR2020,Liberia,LBR,..,0.319014221429825,..,..,..
2020,YR2020,Libya,LBY,..,..,..,..,..
2020,YR2020,Liechtenstein,LIE,..,..,..,..,..
2020,YR2020,Lithuania,LTU,77947223.9140954,0.70604795217514,..,..,..
2020,YR2020,Luxembourg,LUX,5335242058.25077,0.686146140098572,..,..,..
2020,YR2020,"Macao SAR, China",MAC,..,0.795671582221985,1.00156998634338,..,..
2020,YR2020,Madagascar,MDG,..,0.391991019248962,..,..,..
2020,YR2020,Malawi,MWI,..,0.413240641355515,..,..,..
2020,YR2020,Malaysia,MYS,2379590914.39474,0.610976159572601,..,..,..
2020,YR2020,Maldives,MDV,..,..,..,..,52.5994912560368
2020,YR2020,Mali,MLI,..,0.318269580602646,..,0.696250021457672,..
2020,YR2020,Malta,MLT,1305827734.81325,0.709248304367065,..,..,..
2020,YR2020,Marshall Islands,MHL,..,0.42339813709259,1.10808002948761,..,..
2020,YR2020,Mauritania,MRT,..,0.381546080112457,..,..,..
2020,YR2020,Mauritius,MUS,..,0.62185925245285,..,..,..
2020,YR2020,Mexico,MEX,329131627,0.612949848175049,..,1.00179004669189,42.492632737187
2020,YR2020,"Micronesia, Fed. Sts.",FSM,..,0.505966544151306,..,..,..
2020,YR2020,Moldova,MDA,21660000,0.584153532981873,0.994340002536774,..,28.386691333574
2020,YR2020,Monaco,MCO,..,..,..,..,..
2020,YR2020,Mongolia,MNG,24429073.6839665,0.614397525787354,..,1.00302004814148,..
2020,YR2020,Montenegro,MNE,3714630.9641961,0.633181810379028,1.02005004882813,..,..
2020,YR2020,Morocco,MAR,151547176.888955,0.504116356372833,0.95073002576828,..,..
2020,YR2020,Mozambique,MOZ,0,0.362116664648056,..,..,..
2020,YR2020,Myanmar,MMR,..,0.477652013301849,..,..,..
2020,YR2020,Namibia,NAM,942148.344294667,0.446437537670136,..,..,73.8180087938721
2020,YR2020,Nauru,NRU,..,0.50841212272644,..,..,..
2020,YR2020,Nepal,NPL,..,0.504601776599884,1.03255999088287,..,..
2020,YR2020,Netherlands,NLD,45372589890.4463,0.789915025234222,..,..,..
2020,YR2020,New Caledonia,NCL,..,..,..,..,..
2020,YR2020,New Zealand,NZL,827750195.271743,0.775932431221008,..,..,..
2020,YR2020,Nicaragua,NIC,600000,0.508098244667053,..,..,30.4294688430843
2020,YR2020,Niger,NER,..,0.31568518280983,..,..,..
2020,YR2020,Nigeria,NGA,252840000,0.360609829425812,..,..,..
2020,YR2020,North Macedonia,MKD,179859790,0.55734920501709,..,1.00134003162384,56.5054284410858
2020,YR2020,Northern Mariana Islands,MNP,..,..,..,..,..
2020,YR2020,Norway,NOR,692362107.369162,0.771051168441772,..,..,185.153525026
2020,YR2020,Oman,OMN,..,0.608116269111633,0.91881000995636,..,..
2020,YR2020,Pakistan,PAK,183000000,0.406070023775101,..,..,..
2020,YR2020,Palau,PLW,..,0.588113486766815,1.00341999530792,..,..
2020,YR2020,Panama,PAN,17899922.75,0.501601994037628,1.0265200138092,..,109.099976837325
2020,YR2020,Papua New Guinea,PNG,..,0.429185003042221,..,..,21.8945089676402
2020,YR2020,Paraguay,PRY,18500000,0.528180062770844,1.07463002204895,1.00025999546051,..
2020,YR2020,Peru,PER,..,0.6051926612854,0.934409976005554,0.998329997062683,..
2020,YR2020,Philippines,PHL,519270901.14,0.51596212387085,..,..,73.942842426221
2020,YR2020,Poland,POL,3593000000,0.753088593482971,..,..,..
2020,YR2020,Portugal,PRT,891850080.822878,0.768949568271637,..,..,..
2020,YR2020,Puerto Rico,PRI,..,..,..,..,..
2020,YR2020,Qatar,QAT,..,0.637771606445313,..,..,..
2020,YR2020,Romania,ROU,888552030.239282,0.584187865257263,..,..,..
2020,YR2020,Russian Federation,RUS,6809070000,0.681419610977173,..,..,..
2020,YR2020,Rwanda,RWA,..,0.379552751779556,..,..,..
2020,YR2020,Samoa,WSM,..,0.548421680927277,..,..,96.1184674008305
2020,YR2020,San Marino,SMR,..,..,0.956520020961761,..,..
2020,YR2020,Sao Tome and Principe,STP,461472.698358471,..,..,..,..
2020,YR2020,Saudi Arabia,SAU,..,0.576390504837036,0.928040027618408,0.999019980430603,..
2020,YR2020,Senegal,SEN,..,0.420110791921616,1.16217994689941,..,..
2020,YR2020,Serbia,SRB,348262113.737303,0.676606357097626,1.01481997966766,..,..
2020,YR2020,Seychelles,SYC,1982431.30664207,0.632779061794281,1.08508002758026,..,..
2020,YR2020,Sierra Leone,SLE,..,0.36270210146904,..,..,..
2020,YR2020,Singapore,SGP,16848008987.1896,0.879125714302063,..,..,..
2020,YR2020,Sint Maarten (Dutch part),SXM,..,..,..,..,..
2020,YR2020,Slovak Republic,SVK,613198926.052251,0.664987325668335,..,..,..
2020,YR2020,Slovenia,SVN,252504589.668643,0.774986982345581,..,..,..
2020,YR2020,Solomon Islands,SLB,2890610.64683628,0.419872611761093,..,..,34.2724282430735
2020,YR2020,Somalia,SOM,..,..,..,..,..
2020,YR2020,South Africa,ZAF,1398011405.93038,0.425453394651413,..,..,..
2020,YR2020,South Sudan,SSD,..,0.306520849466324,..,..,..
2020,YR2020,Spain,ESP,5063616547.78927,0.728255033493042,..,1.00260996818542,..
2020,YR2020,Sri Lanka,LKA,..,0.598324298858643,..,..,..
2020,YR2020,St. Kitts and Nevis,KNA,..,0.586181640625,..,..,..
2020,YR2020,St. Lucia,LCA,..,0.602564752101898,0.980690002441406,..,..
2020,YR2020,St. Martin (French part),MAF,..,..,..,..,..
2020,YR2020,St. Vincent and the Grenadines,VCT,..,0.533341825008392,..,..,..
2020,YR2020,Sudan,SDN,..,0.377445191144943,..,..,..
2020,YR2020,Suriname,SUR,..,..,..,..,..
2020,YR2020,Sweden,SWE,9208813607.69798,0.79535710811615,..,..,..
2020,YR2020,Switzerland,CHE,17961440465.0569,0.756115138530731,..,..,..
2020,YR2020,Syrian Arab Republic,SYR,..,..,..,..,..
2020,YR2020,Tajikistan,TJK,22670,0.504116356372833,..,..,15.9186295978917
2020,YR2020,Tanzania,TZA,..,0.389834702014923,1.09730005264282,..,..
2020,YR2020,Thailand,THA,4503700128.34422,0.609310984611511,0.975419998168945,..,166.935089896659
2020,YR2020,Timor-Leste,TLS,0,0.454314529895783,..,..,..
2020,YR2020,Togo,TGO,..,0.431868046522141,..,..,..
2020,YR2020,Tonga,TON,3740.01215000552,0.531120657920837,1.17641997337341,..,..
2020,YR2020,Trinidad and Tobago,TTO,..,0.603487730026245,..,..,..
2020,YR2020,Tunisia,TUN,..,0.516809940338135,..,..,..
2020,YR2020,Turkey,TUR,2086000000,0.649261832237244,..,..,76.5623960381279
2020,YR2020,Turkmenistan,TKM,..,..,0.982590019702911,..,..
2020,YR2020,Turks and Caicos Islands,TCA,..,..,..,..,..
2020,YR2020,Tuvalu,TUV,..,0.447577118873596,1.01297998428345,..,..
2020,YR2020,Uganda,UGA,..,0.384176582098007,..,..,14.5893369634314
2020,YR2020,Ukraine,UKR,495000000,0.631387114524841,..,..,..
2020,YR2020,United Arab Emirates,ARE,..,0.673011898994446,1.01218998432159,..,..
2020,YR2020,United Kingdom,GBR,16853200293.2693,0.782942950725555,..,..,..
2020,YR2020,United States,USA,40682000000,0.701764345169067,..,..,227.292249527007
2020,YR2020,Uruguay,URY,125365971.54306,0.59876024723053,..,..,..
2020,YR2020,Uzbekistan,UZB,112682350.3869,0.622805714607239,..,..,..
2020,YR2020,Vanuatu,VUT,..,0.454658538103104,1.14437997341156,..,..
2020,YR2020,"Venezuela, RB",VEN,..,..,..,..,..
2020,YR2020,Vietnam,VNM,..,0.689964532852173,..,..,..
2020,YR2020,Virgin Islands (U.S.),VIR,..,..,..,..,..
2020,YR2020,West Bank and Gaza,PSE,..,0.579996645450592,1.1003600358963,1.00024998188019,..
2020,YR2020,"Yemen, Rep.",YEM,..,0.372784405946732,..,..,..
2020,YR2020,Zambia,ZMB,12493123.5004682,0.396927535533905,..,..,..
2020,YR2020,Zimbabwe,ZWE,..,0.46689310669899,..,..,..